# Mamma's Place - Product Image Generation List
# Format: product_id|prompt description
# The script uses the prompt description to generate the image, saves as public/images/{product_id}.png
# Comment lines (starting with #) and blank lines are ignored

service-003|Electrician service — electrician with tools and electrical panel
service-004|Home renovation consultation — blueprints and hard hat on a table
service-005|Interior house painting service — paint roller and fresh painted wall
service-006|Professional portrait photography session — camera and studio lights
service-007|Medical checkup appointment — doctor with stethoscope
service-008|Dental cleaning appointment — dentist tools and bright smile
service-009|Haircut and styling service — scissors and styling tools at salon
service-010|60-minute massage therapy session — massage table with candles and towels
lg-001|21-inch gas lawn mower — red petrol push lawn mower
lg-002|Cordless electric string trimmer — green cordless grass trimmer with battery
lg-003|Native wildflower seed mix packet — colourful wildflower seed packet
lg-004|50lb lawn fertilizer bag — large green lawn fertilizer sack
lg-005|100ft garden hose with spray nozzle — coiled green garden hose
hd-001|5-pack picture frame set — assorted wooden picture frames
hd-002|24x36 abstract canvas wall art — colourful abstract painting on canvas
hd-003|3-pack premium scented candles — glass jar candles with warm glow
hd-004|30-inch round decorative mirror with brushed gold frame
hd-005|5x7 area rug with geometric pattern — soft colourful rug
tire-001|All-season car tire 16 inch — black rubber tyre
oil-001|5-quart synthetic motor oil bottle — oil bottle with cap
filter-001|Cabin air filter — rectangular air filter for car
battery-001|12V car battery — black car battery with terminals
wiper-001|Pair of windshield wipers — two car wiper blades
pasta-001|1lb organic whole wheat pasta bag — pasta in a bag
rice-001|5lb premium jasmine rice bag — white rice sack
sauce-001|24oz rich tomato pasta sauce can — tomato sauce jar
cereal-001|Honey nut whole grain cereal box — breakfast cereal box
nuts-001|Premium roasted mixed nuts 16oz bag
chips-001|Family size crispy potato chips bag
cookies-001|Homestyle chocolate chip cookies bag
trailmix-001|20oz trail mix bag with nuts and dried fruit
fruitsnacks-001|40-pack fruit snacks box with real fruit juice
popcorn-001|2lb premium popcorn kernels bag
rest-breakfast-001|Classic American breakfast plate — eggs, bacon, hash browns and toast
rest-breakfast-002|Belgian waffles with fresh berries and whipped cream
rest-breakfast-003|Breakfast burrito with eggs, sausage and peppers
rest-breakfast-004|Golden French toast with powdered sugar and maple syrup
rest-breakfast-005|Veggie omelette with spinach and mushrooms
rest-lunch-001|12-inch artisan gourmet pizza with fresh toppings
rest-lunch-002|3 authentic street tacos with fresh toppings
rest-lunch-003|Hawaiian poke bowl with ahi tuna, rice and sesame
rest-lunch-004|Classic half-pound burger and hand-cut fries
rest-lunch-005|Caesar salad with grilled chicken and parmesan
rest-dinner-001|Escargot in garlic butter — 6 snails in shells appetiser
rest-dinner-002|Exotic aged stinky cheese platter with crackers
rest-dinner-003|14oz prime rib slow-roasted on a plate
rest-dinner-004|8oz grilled lobster tail with drawn butter
rest-dinner-005|Pasta carbonara — authentic Roman pasta dish
rest-dinner-006|Creamy saffron risotto milanese with porcini and asparagus
rest-dessert-001|Triple chocolate layer cake with ganache
rest-dessert-002|Creme brulee with caramelised sugar top
rest-dessert-003|Ice cream sundae bar with 10 flavours and toppings
rest-dessert-004|Italian tiramisu with mascarpone and espresso
rest-dessert-005|Warm apple pie a la mode with vanilla ice cream
sports-ball-001|Professional basketball — orange NBA-style basketball
sports-ball-002|NFL regulation football — brown leather American football
sports-ball-003|Official size soccer ball — black and white football
sports-ball-004|Indoor outdoor volleyball — white and blue volleyball
sports-ball-005|Official league baseball — white baseball with red stitching
sports-equip-001|Adjustable dumbbell set 5-50lbs with storage stand
sports-equip-002|Premium non-slip yoga mat rolled up
sports-equip-003|5-band resistance bands set with exercise guide bag
sports-equip-004|20lb cast iron kettlebell with grip handle
sports-equip-005|Speed jump rope with ball bearing handles
sports-outdoor-001|4-person camping tent set up outdoors
sports-outdoor-002|Fishing rod and reel combo with tackle box
sports-outdoor-003|2-person inflatable kayak with paddles
sports-outdoor-004|40L hiking backpack with ventilated back panel
sports-outdoor-005|50qt heavy-duty cooler for camping
exercise-001|Olympic barbell 45lb for strength training
exercise-002|Electric treadmill with incline display
exercise-003|Adjustable dumbbell 5-15lb quick-change
exercise-004|Stationary exercise bike with digital console
exercise-005|Dual cable crossover machine with weight stacks
exercise-006|10lb medicine ball for core training
tire-002|Performance tire 18 inch — black sport tyre
tire-003|Winter tire 17 inch for snow and ice
tire-004|Summer sport tire 20 inch — high performance
tire-005|Heavy-duty truck tire LT 22 inch off-road
